_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.6,GO:0042255,ribosome assembly,M1,1,0
1,-4.7,WP4787,Osteoblast differentiation and related diseases,M1,1,0
1,-6.3,GO:0009451,RNA modification,M1,1,0
1,-4.5,GO:0005777,peroxisome,M1,1,0
1,-3.4,GO:0001101,response to acid chemical,M1,1,0
1,-2.8,GO:0031641,regulation of myelination,M1,1,0
1,-2.6,GO:0046460,neutral lipid biosynthetic process,M1,1,0
1,-4.9,R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",M1,1,0
1,-2.1,WP673,ErbB signaling,M1,1,0
1,-3,GO:0045598,regulation of fat cell differentiation,M1,1,0
1,-2.1,GO:0046928,regulation of neurotransmitter secretion,M1,1,0
1,-3.6,GO:2000671,regulation of motor neuron apoptotic process,M1,1,0
1,-2.3,GO:0030135,coated vesicle,M1,1,0
1,-2.3,R-HSA-168638,NOD1/2 Signaling Pathway,M1,1,0
1,-2.1,GO:1903131,mononuclear cell differentiation,M1,1,0
1,-2.1,WP4141,PI3K AKT mTOR vitamin D3 signaling,M1,1,0
1,-5,GO:0098655,monoatomic cation transmembrane transport,M1,1,0
1,-4.3,GO:1990351,transporter complex,M1,1,0
1,-3.3,hsa04380,Osteoclast differentiation,M1,1,0
1,-2.1,WP3937,Microglia pathogen phagocytosis pathway,M1,1,0
1,-3.1,WP5215,Targeted agents in triple negative breast cancer,M1,1,0
1,-3.6,GO:1990778,protein localization to cell periphery,M1,1,0
1,-2.9,R-HSA-446203,Asparagine N-linked glycosylation,M1,1,0
1,-2.7,R-HSA-73762,RNA Polymerase I Transcription Initiation,M1,1,0
1,-3,WP236,Adipogenesis,M1,1,0
1,-3,GO:0070646,protein modification by small protein removal,M1,1,0
1,-3.6,GO:0000045,autophagosome assembly,M1,1,0
1,-3.2,GO:0009895,negative regulation of catabolic process,M1,1,0
1,-3.1,WP2374,Oncostatin M signaling,M1,1,0
1,-4,GO:0070936,protein K48-linked ubiquitination,M1,1,0
1,-2.9,GO:0031929,TOR signaling,M1,1,0
1,-2.7,GO:0042773,ATP synthesis coupled electron transport,M1,1,0
1,-2.3,WP3529,Zinc homeostasis,M1,1,0
1,-2.1,GO:0006887,exocytosis,M1,1,0
1,-16,GO:0008610,lipid biosynthetic process,M1,1,0
1,-4.1,GO:0009260,ribonucleotide biosynthetic process,M1,1,0
1,-3.2,GO:0043523,regulation of neuron apoptotic process,M1,1,0
1,-2.4,GO:0034497,protein localization to phagophore assembly site,M1,1,0
1,-4.7,GO:0006605,protein targeting,M1,1,0
1,-3.5,GO:0006623,protein targeting to vacuole,M1,1,0
1,-2.9,WP4630,Measles virus infection,M1,1,0
1,-3.8,R-HSA-8978868,Fatty acid metabolism,M1,1,0
1,-3,hsa04625,C-type lectin receptor signaling pathway,M1,1,0
1,-2.8,CORUM:2825,BRCA1-RNA polymerase II complex,M1,1,0
1,-6,GO:0000209,protein polyubiquitination,M1,1,0
1,-2.4,M186,PID PDGFRB PATHWAY,M1,1,0
1,-3.4,GO:0006402,mRNA catabolic process,M1,1,0
1,-12,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-2.9,GO:0043473,pigmentation,M1,1,0
1,-2.1,GO:0071044,histone mRNA catabolic process,M1,1,0
1,-3.4,hsa04664,Fc epsilon RI signaling pathway,M1,1,0
1,-6.9,GO:0120009,intermembrane lipid transfer,M1,1,0
1,-2.4,GO:0006779,porphyrin-containing compound biosynthetic process,M1,1,0
1,-6.6,GO:0043632,modification-dependent macromolecule catabolic process,M1,1,0
1,-2.4,GO:0006829,zinc ion transport,M1,1,0
1,-2.1,M272,PID CD8 TCR DOWNSTREAM PATHWAY,M1,1,0
1,-3,GO:0019752,carboxylic acid metabolic process,M1,1,0
1,-2.2,R-HSA-73894,DNA Repair,M1,1,0
1,-13,GO:0046486,glycerolipid metabolic process,M1,1,0
1,-2.4,GO:0033014,tetrapyrrole biosynthetic process,M1,1,0
1,-2.3,GO:0140895,cell surface toll-like receptor signaling pathway,M1,1,0
1,-2.6,GO:0008361,regulation of cell size,M1,1,0
1,-5,hsa05131,Shigellosis,M1,1,0
1,-2.6,GO:0006997,nucleus organization,M1,1,0
1,-2.3,R-HSA-5357905,Regulation of TNFR1 signaling,M1,1,0
1,-2.9,GO:0051174,regulation of phosphorus metabolic process,M1,1,0
1,-2.4,R-HSA-611105,Respiratory electron transport,M1,1,0
1,-9.4,GO:0006869,lipid transport,M1,1,0
1,-4.9,GO:1902554,serine/threonine protein kinase complex,M1,1,0
1,-2,WP51,Regulation of actin cytoskeleton,M1,1,0
1,-4.2,R-HSA-8953854,Metabolism of RNA,M1,1,0
1,-2.2,GO:0002521,leukocyte differentiation,M1,1,0
1,-3.9,GO:0005813,centrosome,M1,1,0
1,-2.1,R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway,M1,1,0
1,-2.3,GO:0030001,metal ion transport,M1,1,0
1,-2.6,R-HSA-194315,Signaling by Rho GTPases,M1,1,0
1,-2.5,GO:0036464,cytoplasmic ribonucleoprotein granule,M1,1,0
1,-2.9,GO:0000012,single strand break repair,M1,1,0
1,-3.1,GO:0098771,inorganic ion homeostasis,M1,1,0
1,-2.7,GO:0002429,immune response-activating cell surface receptor signaling pathway,M1,1,0
1,-2,GO:0032728,positive regulation of interferon-beta production,M1,1,0
1,-2.4,hsa05142,Chagas disease,M1,1,0
1,-2.2,WP5083,Neuroinflammation and glutamatergic signaling,M1,1,0
1,-3.6,hsa04142,Lysosome,M1,1,0
1,-2.2,GO:0032204,regulation of telomere maintenance,M1,1,0
1,-2,GO:0061564,axon development,M1,1,0
1,-2.9,GO:1901988,negative regulation of cell cycle phase transition,M1,1,0
1,-3,GO:1901699,cellular response to nitrogen compound,M1,1,0
1,-2.9,WP4521,Glycosylation and related congenital defects,M1,1,0
1,-3.5,GO:0016579,protein deubiquitination,M1,1,0
1,-6.9,GO:0006511,ubiquitin-dependent protein catabolic process,M1,1,0
1,-3.9,GO:0006163,purine nucleotide metabolic process,M1,1,0
1,-3.9,R-HSA-8980692,RHOA GTPase cycle,M1,1,0
1,-3.1,GO:0015849,organic acid transport,M1,1,0
1,-2.3,GO:0000280,nuclear division,M1,1,0
1,-3.1,GO:0048285,organelle fission,M1,1,0
1,-3,GO:0030705,cytoskeleton-dependent intracellular transport,M1,1,0
1,-15,GO:0005743,mitochondrial inner membrane,M1,1,0
1,-3.2,GO:0071229,cellular response to acid chemical,M1,1,0
1,-2.2,R-HSA-5696399,Global Genome Nucleotide Excision Repair (GG-NER),M1,1,0
1,-2.7,R-HSA-5223345,Miscellaneous transport and binding events,M1,1,0
1,-2.3,GO:1903232,melanosome assembly,M1,1,0
1,-3.5,GO:0180046,GPI anchored protein biosynthesis,M1,1,0
1,-3.7,R-HSA-1660516,Synthesis of PIPs at the early endosome membrane,M1,1,0
1,-3.5,GO:0016482,cytosolic transport,M1,1,0
1,-3.5,GO:1902652,secondary alcohol metabolic process,M1,1,0
1,-5.6,GO:0006914,autophagy,M1,1,0
1,-5.2,GO:0035859,Seh1-associated complex,M1,1,0
1,-7.6,R-HSA-983169,Class I MHC mediated antigen processing & presentation,M1,1,0
