"name","ID","log2fc_100_vs_vehicle","log2fc_200_vs_vehicle","pvalue_100_vs_vehicle","pvalue_200_vs_vehicle","direction_100","direction_200","sig_100","sig_200","significance_group","same_direction","combined_abs_log2fc","min_pvalue"
"DG 34:0 NL 16:0","614.57237 -> 341.305591",0.0369,-0.432,0.83338871406872,0.0329740402574916,"NS","Down",FALSE,TRUE,"200uM only","dose-specific or opposite",0.4689,0.0329740402574916
"DG 34:0 NL 18:0","614.57237 -> 313.27237",-0.124,-0.441,0.512933303235087,0.0388215629601176,"NS","Down",FALSE,TRUE,"200uM only","dose-specific or opposite",0.565,0.0388215629601176
"DG 34:0 NL 20:0","614.57237 -> 285.24297",0.355,0.0815,0.217650681460991,0.767227294588807,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.4365,0.217650681460991
"DG 34:1 NL 16:0","612.55667 -> 339.289891",-0.262,-0.383,0.0782471777385992,0.0178751299281319,"NS","Down",FALSE,TRUE,"200uM only","dose-specific or opposite",0.645,0.0178751299281319
"DG 34:1 NL 16:1","612.55667 -> 341.305541",0.149,-0.0891,0.624752820654541,0.768651522745681,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2381,0.624752820654541
"DG 34:1 NL 18:1","612.55667 -> 313.25667",-0.381,-0.462,0.00602176631913392,0.00195158698868899,"Down","Down",TRUE,TRUE,"Significant in both","same",0.843,0.00195158698868899
"DG 34:1 NL 20:0","612.55667 -> 283.22727",0.593,0.342,0.237676431365131,0.483360395478159,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.935,0.237676431365131
"DG 34:2 NL 16:1","610.54107 -> 339.289941",0.261,0.0759,0.46650170573457,0.829945880239417,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.3369,0.46650170573457
"DG 34:2 NL 20:0","610.54107 -> 281.21167",1.14,0.81,0.0576946589873581,0.155628942673362,"Up","NS",TRUE,FALSE,"100uM only","dose-specific or opposite",1.95,0.0576946589873581
"DG 34:5 NL 20:4","604.49407 -> 283.22727",0.124,0.174,0.55405219651585,0.410992381931083,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.298,0.410992381931083
"DG 36:0 NL 16:0","642.60367 -> 369.336891",0.0547,0.0125,0.618122385751766,0.908394676223962,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0672,0.618122385751766
"DG 36:0 NL 18:0","642.50977 -> 341.20977",-0.103,-0.917,0.848496681655847,0.116437830419949,"NS","NS",FALSE,FALSE,"Not significant","not significant",1.02,0.116437830419949
"DG 36:1 NL 16:1","640.53047 -> 369.279341",0.162,-0.0214,0.0918198915439767,0.808143273436724,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.1834,0.0918198915439767
"DG 36:1 NL 18:0","640.53047 -> 339.23047",-0.0484,-0.0503,0.755499813343449,0.74630589775634,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.0987,0.74630589775634
"DG 36:2 NL 18:1","638.51487 -> 339.21487",-0.0481,-0.203,0.618496446615,0.0582652032912075,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2511,0.0582652032912075
"DG 36:5 NL 16:0","632.52537 -> 359.258591",0.483,-0.353,0.158148392224965,0.289024873714721,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.836,0.158148392224965
"DG 36:5 NL 20:4","632.52537 -> 311.25857",0.0809,0.152,0.608358801626634,0.346433004526265,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.2329,0.346433004526265
"DG 36:6 NL 16:0","630.50977 -> 357.242991",0.34,-1.05,0.599709766479004,0.128252464057809,"NS","NS",FALSE,FALSE,"Not significant","not significant",1.39,0.128252464057809
"DG 36:6 NL 16:1","630.50977 -> 359.258641",0.303,0.106,0.0944463779857925,0.529987617940534,"NS","NS",FALSE,FALSE,"Not significant","not significant",0.409,0.0944463779857925
