"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"GNPNAT1",-0.418,0.402912200182694,-0.4,0.4,"-0.4","0.40","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNPTAB",-0.389,0.476469530891556,-0.4,0.48,"-0.4","0.48","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNPTG",-0.227,0.464994543746222,-0.2,0.46,"-0.2","0.46","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GNS",0.588,0.470726129193877,0.6,0.47,"0.6","0.47","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLGA1",0.93,0.0223060957904376,0.9,0.02,"0.9","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GOLGA2",0.735,0.0535754449133563,0.7,0.05,"0.7","0.05","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GOLGA3",0.439,0.222461109259042,0.4,0.22,"0.4","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLGA4",0.719,0.0601038715778308,0.7,0.06,"0.7","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLGA5",0.332,0.215505297983958,0.3,0.22,"0.3","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLGB1",1.17,0.00325861494581724,1.2,0,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GOLIM4",0.436,0.332129322669138,0.4,0.33,"0.4","0.33","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLM2",-0.218,0.710520630801944,-0.2,0.71,"-0.2","0.71","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLPH3",-0.605,0.0612407514886139,-0.6,0.06,"-0.6","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLPH3L",-0.45,0.093375506712552,-0.4,0.09,"-0.4","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOLT1B",0.28,0.763690160156412,0.3,0.76,"0.3","0.76","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GON7",1.01,0.265323640596506,1,0.27,"1.0","0.27","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOPC",0.246,0.320090093242293,0.2,0.32,"0.2","0.32","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GORAB",0.645,0.211522452736523,0.6,0.21,"0.6","0.21","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GORASP2",-0.0819,0.799066990031421,-0.1,0.8,"-0.1","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOSR1",-0.644,0.0339687721986721,-0.6,0.03,"-0.6","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"GOSR2",-0.34,0.291315001760562,-0.3,0.29,"-0.3","0.29","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOT1",-0.242,0.746060158365725,-0.2,0.75,"-0.2","0.75","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GOT2",0.0713,0.949293553836056,0.1,0.95,"0.1","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"GPAA1",0.727,0.0145847661707353,0.7,0.01,"0.7","0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"GPALPP1",0.942,0.0699848713690676,0.9,0.07,"0.9","0.07","NS","Present_3of3","Present_3of3","Present vs Present",NA
