condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,rank,highlight_rdh12,highlight_rdh_family
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,BCL7C,BCL7C,Q8WUZ0,Q8WUZ0,24.4688269301565,0.29992947806008946,3,2333,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ARFGAP1,ARFGAP1,Q8N6T3,Q8N6T3,24.468401823097167,0.022857311767250466,3,2334,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,DNAJB9,DNAJB9,Q9UBS3,Q9UBS3,24.4681216404598,0.02556355116976086,3,2335,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,COPG1,COPG1,Q9Y678,Q9Y678,24.467433981678933,0.2817445824354411,3,2336,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,SFXN1,SFXN1,Q9H9B4,Q9H9B4,24.46646908353303,0.2479588456168182,3,2337,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,TWF2,TWF2,Q6IBS0,Q6IBS0,24.464385014971167,0.07177165217104127,3,2338,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,POLE3,POLE3,Q9NRF9,Q9NRF9,24.462397525107967,0.4198511094968037,3,2339,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,CRTAP,CRTAP,O75718,O75718,24.462027360493398,0.30084777212293434,3,2340,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,TXNL4A,TXNL4A,P83876,P83876,24.4611095188722,0.18418989443255898,3,2341,FALSE,FALSE
GFP_200_atRAL5hr.24h_recvr,Recvr WT 200uM,Recvr WT 200uM,GFP,atRAL5hr+24h_recvr,200,ADK,ADK,P55263,P55263,24.46108088343903,0.17827204241868033,3,2342,FALSE,FALSE
