Protein.Group,Unique_to,Genes,SampleName,Group,CellType,Fraction,PG.MaxLFQ
Q6PID6,WO,TTC33,WO_F3,WO,WO,3,10184.4921875
Q969J2,WO,ZKSCAN4,WO_F2,WO,WO,2,8300.611328125
Q9UK76,WO,JPT1,WO_F1,WO,WO,1,21371.8203125
Q9UK76,WO,JPT1,WO_F4,WO,WO,4,10103.2158203125
Q9UK76,WO,JPT1,WO_F2,WO,WO,2,90855.5859375
Q9UK76,WO,JPT1,WO_F3,WO,WO,3,6582.3876953125
O15354,WO,GPR37,WO_F2,WO,WO,2,8954.5205078125
O15354,WO,GPR37,WO_F1,WO,WO,1,11448.953125
O60673,WO,REV3L,WO_F1,WO,WO,1,2072.099365234375
O60673,WO,REV3L,WO_F2,WO,WO,2,9380.3408203125
O14924,WO,RGS12,WO_F1,WO,WO,1,4657.74169921875
O14924,WO,RGS12,WO_F4,WO,WO,4,9543.564453125
Q9BYN0,WO,SRXN1,WO_F4,WO,WO,4,12965.6982421875
Q9BYN0,WO,SRXN1,WO_F3,WO,WO,3,8717.630859375
Q9BYN0,WO,SRXN1,WO_F1,WO,WO,1,16113.09765625
Q9BYN0,WO,SRXN1,WO_F2,WO,WO,2,9607.220703125
Q9Y2X9,WO,ZNF281,WO_F2,WO,WO,2,7403.29248046875
Q00978,WO,IRF9,WO_F2,WO,WO,2,8845.38671875
Q00978,WO,IRF9,WO_F3,WO,WO,3,5859.4716796875
A6NNA2,WO,SRRM3,WO_F2,WO,WO,2,40085.34765625
A6NNA2,WO,SRRM3,WO_F3,WO,WO,3,4607.56005859375
P10645,WO,CHGA,WO_F3,WO,WO,3,6064.16259765625
P10645,WO,CHGA,WO_F2,WO,WO,2,5991.8271484375
Q9NYQ6,WO,CELSR1,WO_F3,WO,WO,3,160574.1875
O15234,WO,CASC3,WO_F2,WO,WO,2,8344.8173828125
O15234,WO,CASC3,WO_F1,WO,WO,1,2136.442138671875
O15234,WO,CASC3,WO_F4,WO,WO,4,6490.076171875
O15234,WO,CASC3,WO_F3,WO,WO,3,746.10546875
Q9UMZ2,WO,SYNRG,WO_F3,WO,WO,3,16897.490234375
Q9UMZ2,WO,SYNRG,WO_F4,WO,WO,4,16475.787109375
Q9UMZ2,WO,SYNRG,WO_F2,WO,WO,2,9494.7314453125
Q9UMZ2,WO,SYNRG,WO_F1,WO,WO,1,17028.64453125
Q13615,WO,MTMR3,WO_F2,WO,WO,2,7604.82861328125
Q13615,WO,MTMR3,WO_F3,WO,WO,3,4515.29443359375
Q13615,WO,MTMR3,WO_F1,WO,WO,1,9181.8896484375
Q969G5,WO,CAVIN3,WO_F2,WO,WO,2,31236.404296875
Q8WWX9,WO,SELENOM,WO_F4,WO,WO,4,4720.35400390625
Q8WWX9,WO,SELENOM,WO_F1,WO,WO,1,7717.1337890625
Q8WWX9,WO,SELENOM,WO_F2,WO,WO,2,3714.080322265625
Q92733,WO,PRCC,WO_F2,WO,WO,2,10482.4365234375
Q92733,WO,PRCC,WO_F3,WO,WO,3,19176.423828125
Q92733,WO,PRCC,WO_F4,WO,WO,4,12666.298828125
Q92733,WO,PRCC,WO_F1,WO,WO,1,7252.318359375
P00751,WO,CFB,WO_F2,WO,WO,2,14681.724609375
Q9HC56,WO,PCDH9,WO_F3,WO,WO,3,4710.2236328125
Q9HC56,WO,PCDH9,WO_F2,WO,WO,2,4315.10498046875
Q9HC56,WO,PCDH9,WO_F1,WO,WO,1,4059.802734375
Q9HC56,WO,PCDH9,WO_F4,WO,WO,4,3617.2578125
Q9NS73,WO,MBIP,WO_F1,WO,WO,1,5441.9111328125
Q9NS73,WO,MBIP,WO_F2,WO,WO,2,4863.01904296875
B2RBV5,WO,MRFAP1L2,WO_F2,WO,WO,2,21150.25390625
B2RBV5,WO,MRFAP1L2,WO_F1,WO,WO,1,15961.8984375
O75586,WO,MED6,WO_F3,WO,WO,3,2460.64111328125
O75586,WO,MED6,WO_F1,WO,WO,1,2361.618896484375
O75586,WO,MED6,WO_F4,WO,WO,4,5998.6943359375
P78552,WO,IL13RA1,WO_F2,WO,WO,2,3399.730224609375
Q8N0Z3,WO,SPICE1,WO_F2,WO,WO,2,2780.534423828125
Q8N0Z3,WO,SPICE1,WO_F1,WO,WO,1,2377.559814453125
Q8N0Z3,WO,SPICE1,WO_F3,WO,WO,3,2822.915771484375
Q9UKT5,WO,FBXO4,WO_F1,WO,WO,1,11388.3486328125
Q9UKT5,WO,FBXO4,WO_F2,WO,WO,2,1648.974853515625
Q9H3H9,WO,TCEAL2,WO_F1,WO,WO,1,47596.48828125
Q9H3H9,WO,TCEAL2,WO_F2,WO,WO,2,154506.40625
Q9H3H9,WO,TCEAL2,WO_F3,WO,WO,3,43462.375
Q9H3H9,WO,TCEAL2,WO_F4,WO,WO,4,24079.890625
P28715,WO,ERCC5,WO_F2,WO,WO,2,7194.140625
P28715,WO,ERCC5,WO_F1,WO,WO,1,10741.2587890625
P28715,WO,ERCC5,WO_F3,WO,WO,3,7429.49853515625
P14210,WO,HGF,WO_F3,WO,WO,3,10885.5029296875
P14210,WO,HGF,WO_F4,WO,WO,4,8889.36328125
P14210,WO,HGF,WO_F2,WO,WO,2,9073.2607421875
P14210,WO,HGF,WO_F1,WO,WO,1,5125.44189453125
O75575,WO,CRCP,WO_F1,WO,WO,1,5340.349609375
O75575,WO,CRCP,WO_F4,WO,WO,4,7273.75244140625
P60903,WO,S100A10,WO_F1,WO,WO,1,3467.933837890625
P60903,WO,S100A10,WO_F3,WO,WO,3,4862.80322265625
P60903,WO,S100A10,WO_F4,WO,WO,4,12874.17578125
P60903,WO,S100A10,WO_F2,WO,WO,2,2988.2626953125
Q86WP2,WO,GPBP1,WO_F3,WO,WO,3,1549.046875
Q86WP2,WO,GPBP1,WO_F1,WO,WO,1,1699.0711669921875
Q86WP2,WO,GPBP1,WO_F2,WO,WO,2,9181.951171875
Q96NU1,WO,SAMD11,WO_F2,WO,WO,2,8254.29296875
Q96NU1,WO,SAMD11,WO_F3,WO,WO,3,1280.881591796875
Q96IU2,WO,ZBED3,WO_F1,WO,WO,1,1165.2197265625
Q96IU2,WO,ZBED3,WO_F2,WO,WO,2,1619.8642578125
Q96IU2,WO,ZBED3,WO_F3,WO,WO,3,584.25299072265625
Q96B97,WO,SH3KBP1,WO_F1,WO,WO,1,11639.876953125
Q96B97,WO,SH3KBP1,WO_F2,WO,WO,2,18378.111328125
Q96B97,WO,SH3KBP1,WO_F3,WO,WO,3,14873.80078125
Q96B97,WO,SH3KBP1,WO_F4,WO,WO,4,11546.853515625
Q9H156,WO,SLITRK2,WO_F2,WO,WO,2,16501.791015625
Q9H156,WO,SLITRK2,WO_F3,WO,WO,3,21708.064453125
Q9H156,WO,SLITRK2,WO_F1,WO,WO,1,2531.663330078125
Q9H156,WO,SLITRK2,WO_F4,WO,WO,4,3600.20751953125
O95271,WO,TNKS,WO_F2,WO,WO,2,23379.248046875
Q17R98,WO,ZNF827,WO_F2,WO,WO,2,10118.5146484375
Q9UMF0,WO,ICAM5,WO_F3,WO,WO,3,7801.72705078125
Q9H4D0,WO,CLSTN2,WO_F4,WO,WO,4,3989.638427734375
Q16619,WO,CTF1,WO_F3,WO,WO,3,8829.4091796875
Q8NFP4,WO,MDGA1,WO_F2,WO,WO,2,12545.7626953125
P36269,WO,GGT5,WO_F3,WO,WO,3,7301.083984375
P49790,WO,NUP153,WO_F1,WO,WO,1,4018.820556640625
P49790,WO,NUP153,WO_F3,WO,WO,3,13972.494140625
P49790,WO,NUP153,WO_F4,WO,WO,4,6108.76708984375
Q8TES7,WO,FBF1,WO_F3,WO,WO,3,3983.872314453125
Q8TES7,WO,FBF1,WO_F1,WO,WO,1,2885.152587890625
Q8NAA5,WO,LRRC75A,WO_F1,WO,WO,1,3672.192138671875
P07992,WO,ERCC1,WO_F2,WO,WO,2,3929.10546875
P07992,WO,ERCC1,WO_F3,WO,WO,3,3093.853271484375
Q6UXI9,WO,NPNT,WO_F1,WO,WO,1,7774.904296875
Q6UXI9,WO,NPNT,WO_F3,WO,WO,3,17135.2578125
Q6UXI9,WO,NPNT,WO_F4,WO,WO,4,11326.3310546875
Q6UXI9,WO,NPNT,WO_F2,WO,WO,2,10996.7666015625
Q96S86,WO,HAPLN3,WO_F2,WO,WO,2,7846.556640625
Q96S86,WO,HAPLN3,WO_F3,WO,WO,3,6666.36572265625
Q96S86,WO,HAPLN3,WO_F4,WO,WO,4,3103.861572265625
Q96S86,WO,HAPLN3,WO_F1,WO,WO,1,5262.71826171875
Q9BXP8,WO,PAPPA2,WO_F2,WO,WO,2,7713.35498046875
Q8NB15,WO,ZNF511,WO_F2,WO,WO,2,1353.6275634765625
Q8NB15,WO,ZNF511,WO_F3,WO,WO,3,4262.39501953125
P02749,WO,APOH,WO_F1,WO,WO,1,57816.2578125
P02749,WO,APOH,WO_F2,WO,WO,2,35199.1171875
P02749,WO,APOH,WO_F3,WO,WO,3,10829.072265625
P02749,WO,APOH,WO_F4,WO,WO,4,11081.861328125
Q6PH81,WO,C16orf87,WO_F2,WO,WO,2,15149.091796875
Q92187,WO,ST8SIA4,WO_F3,WO,WO,3,1469.605712890625
Q8NC42,WO,RNF149,WO_F3,WO,WO,3,3359.942626953125
Q8NC42,WO,RNF149,WO_F2,WO,WO,2,3271.469482421875
Q15063,WO,POSTN,WO_F3,WO,WO,3,9281.3955078125
Q15063,WO,POSTN,WO_F1,WO,WO,1,4714.45458984375
