"Lipid","LipidClass","sample","Intensity","Treatment","Rep","Genotype","Treatment_raw","Genotype_raw","Experiment","Condition","Detected","log2Intensity"
"Cer(d14:1/20:0)","Cer","s6",3480.020237,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.764879980315
"Cer(d14:1/20:0)","Cer","s7",2751.54018,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.4260236807702
"Cer(d14:1/20:0)","Cer","s8",4552.920246,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,12.1525764723943
"Cer(d14:1/20:0)","Cer","s9",2198.500168,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.1023039274572
"Cer(d18:1/16:0)","Cer","s1",2794.480221,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.4483642484743
"Cer(d18:1/16:0)","Cer","s2",2207.42017,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.1081455492957
"Cer(d18:1/16:0)","Cer","s3",2965.960201,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,11.5342835236532
"Cer(d18:1/16:0)","Cer","s4",2979.740189,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.5409708286442
"Cer(d18:1/16:0)","Cer","s5",2419.020164,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.2402070797681
"Cer(d18:1/16:0)","Cer","s6",3230.620239,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,11.6575954557197
"Cer(d18:1/16:0)","Cer","s7",3604.140293,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.8154394545472
"Cer(d18:1/16:0)","Cer","s8",3547.760231,"200 µM","2","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.7926927956438
"Cer(d18:1/16:0)","Cer","s9",3167.26022,"200 µM","3","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,11.6290196877658
"Cer(d18:1/18:0)","Cer","s1",1912.70013,"Veh","1","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.9013949927042
"Cer(d18:1/18:0)","Cer","s2",1447.540115,"Veh","2","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.4993876141613
"Cer(d18:1/18:0)","Cer","s3",1534.100124,"Veh","3","RDH12","Veh","RDH12","Acute","Acute | RDH12 | Veh",TRUE,10.583176928966
"Cer(d18:1/18:0)","Cer","s4",1383.240097,"100 µM","1","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.4338358798253
"Cer(d18:1/18:0)","Cer","s5",1618.220127,"100 µM","2","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.6601921560457
"Cer(d18:1/18:0)","Cer","s6",1794.800133,"100 µM","3","RDH12","100","RDH12","Acute","Acute | RDH12 | 100 µM",TRUE,10.809607480697
"Cer(d18:1/18:0)","Cer","s7",1871.400112,"200 µM","1","RDH12","200","RDH12","Acute","Acute | RDH12 | 200 µM",TRUE,10.8699023295507
