"","X","Gene","contrast","p.val","p.adj","ratio"
"179",194,"ACAD9","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.06956520719193,0.509,0.44
"180",195,"ACAD9","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",1.3706432457433e-06,0.571,1.55
"181",196,"ACAP2","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.964988065375285,0.971,-0.024
"182",197,"ACAP2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.408467588312044,0.906,-0.456
"183",198,"ACAP2","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.384675230210354,0.884,-0.48
"184",199,"ACAP2","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.646517314613331,0.869,-0.251
"185",200,"ACAP2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.958941078984431,0.909,-0.0281
"186",201,"ACAP2","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.890387259989182,0.889,0.0753
"187",202,"ACAP2","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",4.78347775708285e-13,1,8.73
"188",203,"ACAP2","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.632402647197937,0.935,0.262
"189",204,"ACAP2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.915755339558501,0.918,0.0578
"190",205,"ACAP2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.89280757320422,0.935,-0.0737
"191",206,"ACAP2","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.807647337807299,0.922,0.133
"192",207,"ACAP2","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.850084233027146,0.8,0.103
"193",208,"ACAP2","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",3.82955899777337e-13,3.36e-14,8.83
