X,name,ID,Control_100_vs_Control_Veh_p.val,Control_200_vs_Control_100_p.val,Control_200_vs_Control_Veh_p.val,RDH12_100_vs_Control_100_p.val,RDH12_100_vs_RDH12_Veh_p.val,RDH12_200_vs_Control_200_p.val,RDH12_200_vs_RDH12_100_p.val,RDH12_200_vs_RDH12_Veh_p.val,RDH12_Veh_vs_Control_Veh_p.val,Control_100_vs_Control_Veh_p.adj,Control_200_vs_Control_100_p.adj,Control_200_vs_Control_Veh_p.adj,RDH12_100_vs_Control_100_p.adj,RDH12_100_vs_RDH12_Veh_p.adj,RDH12_200_vs_Control_200_p.adj,RDH12_200_vs_RDH12_100_p.adj,RDH12_200_vs_RDH12_Veh_p.adj,RDH12_Veh_vs_Control_Veh_p.adj,Control_100_vs_Control_Veh_significant,Control_200_vs_Control_100_significant,Control_200_vs_Control_Veh_significant,RDH12_100_vs_Control_100_significant,RDH12_100_vs_RDH12_Veh_significant,RDH12_200_vs_Control_200_significant,RDH12_200_vs_RDH12_100_significant,RDH12_200_vs_RDH12_Veh_significant,RDH12_Veh_vs_Control_Veh_significant,significant,Control_100_vs_Control_Veh_ratio,Control_200_vs_Control_100_ratio,Control_200_vs_Control_Veh_ratio,RDH12_100_vs_Control_100_ratio,RDH12_100_vs_RDH12_Veh_ratio,RDH12_200_vs_Control_200_ratio,RDH12_200_vs_RDH12_100_ratio,RDH12_200_vs_RDH12_Veh_ratio,RDH12_Veh_vs_Control_Veh_ratio,Control_100_centered,Control_200_centered,Control_Veh_centered,RDH12_100_centered,RDH12_200_centered,RDH12_Veh_centered
203,PC O-36:1,774.637625 -> 184.07,0.316575954,0.140612544,0.609787284,0.017068551,0.936445542,0.002430524,0.565601388,0.513951935,0.00180782,0.698956427,0.405601323,0.918508044,0.1498702,0.986640738,0.014830314,0.959131414,0.781586877,0.026032606,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.217,-0.327,-0.109,0.565,-0.017,0.768,-0.123,-0.14,0.799,-0.174,-0.5,-0.391,0.391,0.267,0.408
204,PC O-36:2,772.622025 -> 184.07,0.238432361,0.792211849,0.155638343,0.000828923,0.39363733,0.006885148,0.205976335,0.04426053,0.001664895,0.608763474,0.953209199,0.596061739,0.03730155,0.953944604,0.029863293,0.783852927,0.245135242,0.025381187,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.223,-0.0487,-0.272,0.763,-0.159,0.571,-0.24,-0.4,0.699,-0.397,-0.446,-0.174,0.366,0.126,0.525
205,PC O-36:3,770.606325 -> 184.07,0.156149521,0.11393755,0.854640316,0.128776581,0.764196429,0.002646401,0.746143834,0.980950545,0.004046465,0.516053985,0.392643046,0.980809545,0.454505581,0.981017338,0.0153662,0.995250349,0.996488861,0.036418181,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.286,-0.321,-0.0356,0.308,-0.0584,0.692,0.063,0.00464,0.652,-0.0729,-0.394,-0.358,0.235,0.298,0.293
206,PC O-36:6,764.559425 -> 184.07,0.873458781,0.639532255,0.756318204,0.001519915,0.433281165,0.000356089,0.799488106,0.304454782,0.005549646,0.961605997,0.866777309,0.970438284,0.045934819,0.953944604,0.003884603,0.998456697,0.586116158,0.046462154,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0267,-0.0787,-0.052,0.642,0.133,0.763,0.0426,0.175,0.536,-0.288,-0.367,-0.315,0.353,0.396,0.221
207,PC O-38:1,802.668925 -> 184.07,0.127403626,0.417051261,0.446807204,0.072158038,0.868638658,0.006862132,0.712852732,0.838900534,0.002155105,0.515877782,0.714945019,0.851061341,0.346358581,0.981017338,0.029863293,0.984532755,0.921527105,0.029391913,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.31,-0.16,0.15,0.372,-0.0323,0.605,0.072,0.0397,0.715,-0.125,-0.285,-0.435,0.247,0.319,0.279
208,PC O-38:2,800.653325 -> 184.07,0.046629277,0.171815403,0.472219564,0.371320542,0.058669092,0.045060557,0.870175613,0.042962413,0.000133874,0.346429825,0.448214095,0.872300492,0.695878093,0.844834927,0.136317652,0.998456697,0.241663572,0.009672047,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.295,-0.195,0.1,0.125,-0.279,0.298,-0.0226,-0.301,0.7,-0.0236,-0.219,-0.319,0.102,0.0791,0.381
209,PC O-38:3,798.637625 -> 184.07,0.084072334,0.958371629,0.092411646,0.508967648,0.314545507,0.134070982,0.405365061,0.85590794,0.002922115,0.458576365,0.997868493,0.459835966,0.777728359,0.953944604,0.285594991,0.878285363,0.935987462,0.030940044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.32,-0.00915,0.311,0.117,-0.18,0.273,0.148,-0.0318,0.616,-0.0581,-0.0672,-0.378,0.0586,0.206,0.238
210,PC O-38:4,796.622025 -> 184.07,0.035163886,0.122771962,0.504049154,0.625690505,0.816659122,0.006357321,0.059199759,0.090840525,0.057681831,0.331160394,0.398179338,0.876607225,0.855189703,0.981017338,0.029863293,0.627978789,0.340651968,0.214468057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.387,-0.273,0.114,-0.0829,-0.0393,0.53,0.341,0.301,0.343,0.088,-0.185,-0.299,0.00511,0.346,0.0444
211,PC O-38:5,794.606325 -> 184.07,0.028704313,0.139682892,0.400304325,0.748360246,0.688106932,0.00175013,0.072213671,0.033523209,0.033665494,0.303928018,0.405601323,0.826394431,0.913253181,0.967121763,0.011887673,0.649923037,0.219424644,0.15946813,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.429,-0.276,0.153,0.0577,0.0722,0.676,0.342,0.414,0.414,0.0436,-0.232,-0.385,0.101,0.443,0.029
212,PC O-38:7,790.668925 -> 184.07,0.866192759,0.866676116,0.999509016,0.000723667,0.558469599,9.14E-05,0.376614315,0.152318029,0.001692079,0.959475056,0.963622707,0.999509016,0.03730155,0.953944604,0.001134404,0.858108565,0.459842841,0.025381187,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.0264,-0.0263,9.62E-05,0.657,0.092,0.823,0.14,0.232,0.591,-0.328,-0.354,-0.354,0.329,0.469,0.237
213,PC O-40:2,828.684625 -> 184.07,0.051892233,0.93163857,0.061023632,0.821876385,0.243401975,0.773717709,0.551651711,0.553433713,0.276080881,0.373624077,0.994448903,0.354330765,0.929952993,0.953944604,0.87015312,0.946483819,0.797077177,0.504513284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.366,-0.0151,0.351,0.0396,0.21,-0.0506,-0.105,0.105,0.195,0.0962,0.0811,-0.269,0.136,0.0306,-0.0741
214,PC O-40:3,826.668925 -> 184.07,0.038635379,0.392800719,0.18430656,0.507828157,0.831676276,0.329885737,0.433017899,0.323161567,0.188667995,0.331160394,0.693786148,0.657053655,0.777728359,0.981017338,0.51637473,0.893499778,0.615086557,0.399532225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.256,-0.099,0.157,-0.0763,0.0243,0.113,0.0906,0.115,0.155,0.0862,-0.0128,-0.169,0.0099,0.101,-0.0144
215,PC O-40:4,824.653325 -> 184.07,0.064847264,0.389952469,0.284169772,0.530070808,0.113491995,0.032924586,0.052208791,0.001855461,0.746401402,0.416720608,0.693786148,0.763441178,0.799374187,0.931806613,0.105829026,0.626505494,0.056695051,0.872417223,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.353,-0.156,0.196,-0.114,0.297,0.416,0.373,0.671,-0.0582,0.129,-0.0275,-0.224,0.0154,0.389,-0.282
216,PC O-40:5,822.637625 -> 184.07,0.009404955,0.000690304,0.212639408,0.678673256,0.137803014,6.64E-05,0.43080048,0.031500384,0.085549068,0.186986588,0.041418253,0.702972255,0.893239092,0.931806613,0.001029821,0.893499778,0.219424644,0.264989845,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.369,-0.53,-0.161,0.0521,0.194,0.682,0.1,0.294,0.228,0.139,-0.391,-0.23,0.192,0.292,-0.00217
217,PC O-40:6,820.622025 -> 184.07,0.008253824,0.130766076,0.166535758,0.829647499,0.639873132,0.009328028,0.258263981,0.119539976,0.013850699,0.186986588,0.405601323,0.624262815,0.932814887,0.957126316,0.038160113,0.801508908,0.405984824,0.085969859,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.717,-0.376,0.342,0.0514,0.112,0.703,0.276,0.388,0.657,0.129,-0.247,-0.588,0.181,0.457,0.0685
218,PC O-40:7,818.736625 -> 184.07,0.748832171,0.987548228,0.760629484,0.010784798,0.690417481,2.16E-05,0.005959477,0.013461652,0.002468599,0.905526004,0.997868493,0.970438284,0.110929349,0.967121763,0.000707939,0.429082327,0.164262785,0.029623186,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0475,-0.00231,0.0452,0.426,-0.0592,0.897,0.469,0.41,0.533,-0.293,-0.295,-0.34,0.133,0.602,0.192
219,PC O-42:5,850.668925 -> 184.07,0.222670996,0.460071606,0.614080453,0.325908261,0.857265081,0.113340607,0.07169654,0.099472381,0.666098931,0.593789322,0.759751276,0.921120679,0.662864259,0.981017338,0.250885797,0.649923037,0.358100572,0.821217861,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.138,-0.0821,0.0558,-0.11,-0.0198,0.182,0.21,0.191,0.0477,0.0533,-0.0288,-0.0846,-0.0567,0.154,-0.0369
220,PC O-42:6,848.653325 -> 184.07,0.02473259,0.01417849,0.781741951,0.457798722,0.005960527,0.001378344,0.696585319,0.002673913,0.962157148,0.269810078,0.159508017,0.970438284,0.752065105,0.357631644,0.010337578,0.983273573,0.064173919,0.978464896,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.206,-0.23,-0.0232,0.0628,0.265,0.325,0.0328,0.298,0.00397,0.08,-0.15,-0.126,0.143,0.176,-0.122
221,PC O-42:7,846.731525 -> 184.07,0.212461341,0.994034422,0.214997218,0.002336115,0.001583008,7.88E-05,0.099652941,5.46E-05,0.155520639,0.583675403,0.997868493,0.70362726,0.046722294,0.189960988,0.001029821,0.703432526,0.005444935,0.354350823,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.128,0.000746,-0.127,0.362,0.381,0.534,0.173,0.553,-0.147,-0.168,-0.167,-0.0396,0.194,0.367,-0.187
222,PC O-44:2,884.710825 -> 184.07,0.930613728,0.315347009,0.356951327,0.662970983,0.874740459,0.936086557,0.138840441,0.180809542,0.714517625,0.979634527,0.612804626,0.803608775,0.883961311,0.981017338,0.961723415,0.780977483,0.481430648,0.848931832,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.00749,0.0879,0.0804,-0.0376,-0.0136,0.00689,0.132,0.119,-0.0315,-0.0214,0.0665,-0.0139,-0.059,0.0734,-0.0455
223,PC O-44:6,876.648225 -> 184.07,0.946980043,0.247613649,0.273952042,0.905114313,0.894549579,0.709963943,0.359257531,0.297071145,0.75066985,0.979634527,0.540247961,0.763400455,0.948681088,0.986640738,0.854806085,0.851781189,0.584496396,0.873370884,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.00655,0.117,0.11,-0.0117,0.0131,-0.0367,0.0917,0.105,-0.0314,-0.0278,0.0889,-0.0212,-0.0395,0.0522,-0.0526
224,PC(16:0),510.392325 -> 184.1,0.538702683,0.29754157,0.108587664,0.838357494,0.933985566,0.177394909,0.898622191,0.833577983,0.620273912,0.811435004,0.597241136,0.509680939,0.932814887,0.986640738,0.337895065,0.998456697,0.920515564,0.780764364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.109,0.187,0.295,-0.0358,-0.0145,-0.245,-0.0224,-0.0369,0.0874,0.00626,0.193,-0.102,-0.0296,-0.052,-0.015
225,PC(16:0/8:0(COOH)),652.455325 -> 184.07,0.588280457,0.798042245,0.773678481,0.792718032,0.453086827,0.238656826,0.494520925,0.162504353,0.960601137,0.844145548,0.953209199,0.970438284,0.929784053,0.953944604,0.419104671,0.924067762,0.459842841,0.978464896,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0759,-0.0357,0.0402,0.0367,0.106,0.169,0.0961,0.202,0.00689,0.00186,-0.0339,-0.074,0.0386,0.135,-0.0672
226,PC(34:4),754.575025 -> 184.1,0.021230382,0.008013159,0.631798109,0.72620759,0.331463636,0.287941102,0.128274246,0.019852744,0.005826607,0.254764581,0.11095143,0.935997198,0.90921699,0.953944604,0.473327839,0.773352052,0.188078626,0.047672238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-1.38,1.64,0.261,0.19,0.535,-0.588,0.859,1.39,-1.72,-0.651,0.986,0.725,-0.461,0.398,-0.996
227,PC(O-40:1),830.700225 -> 184.1,0.724957191,0.641653718,0.908805496,0.394449116,0.414070346,0.801253607,0.5203767,0.857988507,0.752069372,0.899946858,0.866777309,0.989198075,0.696086676,0.953944604,0.878356907,0.924067762,0.935987462,0.873370884,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.112,0.149,0.0364,0.274,0.263,-0.0801,-0.206,0.0569,-0.101,-0.102,0.0461,0.00964,0.172,-0.0341,-0.091
228,PC(P-30:1),688.528125 -> 184.1,0.131399252,0.017015658,0.290480163,0.350523862,0.601836508,0.700789749,0.201002371,0.433074671,0.920843163,0.516053985,0.170156584,0.764952876,0.688546783,0.953944604,0.854806085,0.783852927,0.729648832,0.96707082,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.173,0.292,0.119,0.104,-0.0577,-0.0424,0.145,0.0873,-0.0109,-0.164,0.128,0.00961,-0.0591,0.086,-0.00134
229,PE 32:0,692.559425 -> 551.539425,0.782703105,0.415772475,0.281486873,0.760163289,0.065647236,0.318048548,0.910240506,0.080848167,0.069364076,0.929944283,0.714945019,0.763441178,0.918318068,0.875296476,0.504394173,0.998456697,0.336156998,0.234627052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0293,-0.0874,-0.117,0.0324,0.208,0.108,-0.012,0.196,-0.205,0.0301,-0.0573,0.0594,0.0625,0.0505,-0.145
230,PE 32:2,688.528125 -> 547.508125,0.121315241,0.008676514,0.186165202,0.294990765,0.358841381,0.008557806,0.292068497,0.05995368,0.703519427,0.515877782,0.115686859,0.657053655,0.628382695,0.953944604,0.035840798,0.819582967,0.285781498,0.846740198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.122,0.225,0.103,0.0807,-0.0704,-0.226,-0.0812,-0.152,0.0288,-0.0965,0.129,0.0258,-0.0158,-0.097,0.0546
231,PE 34:0,720.590725 -> 579.570725,0.78938166,0.285092343,0.415676339,0.892786375,0.584236154,0.113595514,0.488114019,0.223755762,0.677246681,0.934735154,0.57884544,0.840296399,0.948681088,0.953944604,0.250885797,0.924067762,0.53701383,0.830134541,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0381,-0.155,-0.117,-0.0192,0.0783,0.236,0.0996,0.178,-0.0594,0.0383,-0.117,0.000217,0.0191,0.119,-0.0592
232,PE 34:2,716.559425 -> 575.539425,0.226993293,0.006096782,0.071159234,0.17080984,0.10450789,0.117464599,0.91912607,0.087086387,0.142095431,0.59688431,0.104442904,0.406624194,0.508194564,0.931806613,0.256286398,0.998456697,0.33703898,0.345637535,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.244,-0.622,-0.377,-0.279,-0.336,0.323,-0.02,-0.356,0.301,0.231,-0.39,-0.0131,-0.0478,-0.0679,0.288
233,PE 34:3,714.543725 -> 573.523725,0.440656137,0.044988561,0.182029617,0.425867138,0.503743111,0.137507389,0.170663043,0.46166623,0.369359538,0.757632491,0.247768938,0.657053655,0.719775444,0.953944604,0.288561746,0.783852927,0.753734102,0.58785652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.105,0.29,0.186,-0.108,-0.0907,-0.208,0.191,0.1,-0.123,-0.0586,0.232,0.0463,-0.167,0.0238,-0.0763
234,PE 36:0,748.622025 -> 607.602025,0.278066728,0.862535429,0.212844377,0.108736457,0.994866376,0.006798527,0.224269032,0.222010763,0.57349379,0.667360147,0.963622707,0.702972255,0.420915316,0.998877189,0.029863293,0.783852927,0.53701383,0.745334889,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.188,-0.0294,-0.217,0.285,0.00109,0.526,0.212,0.213,0.096,-0.204,-0.233,-0.0161,0.081,0.293,0.0799
235,PE 36:1,746.606325 -> 605.586325,0.145343235,0.002207762,0.046745928,0.280938325,0.622713839,2.04E-05,0.193916601,0.08260948,0.048344871,0.516053985,0.070912168,0.311639517,0.612956345,0.953944604,0.000707939,0.783852927,0.336156998,0.195552289,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.233,-0.563,-0.33,0.17,0.0763,0.94,0.207,0.283,0.327,0.0261,-0.537,-0.207,0.196,0.403,0.12
236,PE 36:2,744.590725 -> 603.570725,0.340324845,0.000339661,0.002383992,0.359093208,0.179109184,5.08E-05,0.944631935,0.200496238,0.004637903,0.70145794,0.038610211,0.06130266,0.688546783,0.953944604,0.00101546,0.998456697,0.508300321,0.04072305,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.129,-0.611,-0.482,0.124,-0.185,0.744,0.00926,-0.176,0.438,0.0289,-0.582,-0.1,0.153,0.162,0.338
237,PE 36:3,742.575025 -> 601.555025,0.112058375,0.160864078,0.00659911,0.807884467,0.130842837,0.76175091,0.37192566,0.023924336,0.740146371,0.515877782,0.438720213,0.114526113,0.929952993,0.931806613,0.87015312,0.85282317,0.205065738,0.872417223,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.265,-0.231,-0.496,-0.0388,-0.251,0.0484,-0.144,-0.395,-0.0529,-0.00396,-0.235,0.261,-0.0427,-0.187,0.208
238,PE 36:4,740.523025 -> 599.503025,0.670172125,0.024225921,0.055574981,0.843487128,0.749244425,0.191763741,0.198297847,0.115614053,0.352099904,0.864948034,0.193242188,0.333449884,0.932814887,0.981017338,0.355850242,0.783852927,0.400202492,0.580371545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0631,-0.365,-0.302,0.0292,-0.0473,0.199,-0.196,-0.243,0.14,0.0816,-0.284,0.0185,0.111,-0.085,0.158
239,PE 36:5,738.564855 -> 597.49,0.121428937,0.223721908,0.713563287,0.475257846,0.751263202,0.110422827,0.765789851,0.984693962,0.058382971,0.515877782,0.50974612,0.970284575,0.755786667,0.981017338,0.250885797,0.995250349,0.996488861,0.214468057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.183,0.141,-0.0416,-0.0815,-0.0359,-0.189,0.0337,-0.00217,-0.228,-0.0249,0.116,0.158,-0.106,-0.0726,-0.0705
240,PE 36:7,734.606325 -> 593.586325,0.38990006,0.835174098,0.510589909,0.08652208,0.704557644,0.760703114,0.208311027,0.367460893,0.579955779,0.735059849,0.963622707,0.881520371,0.389349362,0.976005797,0.87015312,0.783852927,0.679804316,0.749017202,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.089,-0.0213,0.0677,-0.185,-0.0388,-0.0311,0.132,0.0934,-0.0568,0.0822,0.0609,-0.00679,-0.102,0.0298,-0.0636
241,PE 38:0,776.653325 -> 635.633325,0.012331097,0.081261001,0.341189786,0.577677175,0.343667561,0.849237442,0.01911985,0.118780345,0.02763866,0.211390239,0.365674504,0.796653647,0.835195916,0.953944604,0.901845071,0.497266208,0.405984824,0.145196808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.249,0.163,-0.0858,-0.0496,-0.0853,0.0169,0.23,0.145,-0.213,-0.0965,0.0669,0.153,-0.146,0.0838,-0.0608
242,PE 38:1,774.637625 -> 633.617625,0.236717172,0.834202643,0.323863185,0.39021526,0.20216091,0.249235407,0.920441025,0.17180218,0.445611671,0.608763474,0.963622707,0.776927526,0.696086676,0.953944604,0.431368974,0.998456697,0.472128128,0.646855651,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.119,-0.0205,0.0981,0.0851,0.128,0.115,0.00977,0.138,0.0754,0.000396,-0.0201,-0.118,0.0855,0.0953,-0.0429
243,PE 38:2,772.622025 -> 631.602025,0.095395217,0.217968234,0.627167436,0.123824589,0.173649977,0.375827339,0.227683557,0.866331855,0.135450252,0.485233808,0.509152119,0.934913704,0.441354972,0.953944604,0.56278337,0.7859368,0.936574979,0.338625631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.243,-0.175,0.0675,-0.222,-0.195,0.124,0.171,-0.0233,0.215,0.12,-0.0554,-0.123,-0.103,0.0689,0.0922
244,PE 38:3,770.570025 -> 629.550025,0.137527744,0.607584706,0.312118308,0.532916125,0.976933782,0.101961944,0.569047262,0.588497549,0.041264247,0.516053985,0.850933169,0.766489951,0.799374187,0.990702036,0.236814837,0.959131414,0.805547976,0.180052387,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.207,-0.0691,0.138,0.0841,-0.00387,0.23,0.0767,0.0728,0.295,-0.00946,-0.0786,-0.216,0.0746,0.151,0.0785
245,PE 38:4,768.554325 -> 627.534325,0.31306272,0.006445403,0.050189509,0.566325956,0.069742222,0.00074849,0.63286293,0.162785545,0.002827035,0.698956427,0.104442904,0.316986371,0.828769692,0.877833593,0.007090962,0.978014237,0.459842841,0.030940044,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.164,-0.499,-0.335,0.0921,-0.307,0.668,0.0766,-0.231,0.564,0.000519,-0.499,-0.164,0.0926,0.169,0.4
246,PE 38:5,766.538725 -> 625.518725,0.151482639,0.034065557,0.421973298,0.522369222,0.013658688,0.375008681,0.453719098,0.002906353,0.002430222,0.516053985,0.238672683,0.840296399,0.793472236,0.582507863,0.56278337,0.897447278,0.065392951,0.029623186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.221,-0.341,-0.12,-0.0955,-0.409,0.133,-0.112,-0.521,0.534,0.0919,-0.249,-0.129,-0.00361,-0.116,0.405
247,PE 38:6,764.523025 -> 623.503025,0.819565459,0.022644739,0.014315878,0.509844146,0.276872601,0.169766439,0.673189643,0.140285478,0.827433074,0.943396591,0.193242188,0.153543646,0.777728359,0.953944604,0.330356314,0.983273573,0.443006773,0.910935494,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0284,-0.312,-0.341,-0.0827,-0.138,0.177,-0.0527,-0.191,0.0272,0.0744,-0.238,0.103,-0.00832,-0.061,0.13
248,PE 40:1,802.668925 -> 661.648925,0.944456545,0.298620568,0.269193204,0.90915271,0.840691892,0.782562389,0.161556528,0.114435844,0.806187079,0.979634527,0.597241136,0.763400455,0.948681088,0.981017338,0.87015312,0.783852927,0.399969941,0.9000636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00819,0.125,0.133,-0.0134,0.0237,0.0325,0.171,0.194,-0.0289,-0.0372,0.0874,-0.0454,-0.0506,0.12,-0.0742
249,PE 40:2,800.616925 -> 659.596925,0.993256718,0.481631909,0.476521477,0.20913556,0.457171929,0.371435374,0.283282365,0.731024248,0.596039001,0.995448056,0.767201272,0.872300492,0.557694827,0.953944604,0.56278337,0.819582967,0.886089998,0.764010177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.00103,0.0865,0.0875,-0.157,-0.0915,-0.11,0.133,0.042,-0.0649,0.027,0.113,0.026,-0.13,0.00301,-0.039
250,PE 40:3,798.601325 -> 657.581325,0.666698863,0.387475541,0.658352112,0.115153232,0.874699611,0.26348667,0.181431074,0.233456489,0.070153042,0.864948034,0.693786148,0.958245892,0.436370143,0.981017338,0.447430194,0.783852927,0.540015996,0.234627052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0441,0.0893,0.0452,-0.168,-0.0161,-0.117,0.141,0.125,-0.196,0.0357,0.125,0.0797,-0.132,0.00835,-0.116
251,PE 40:4,796.585625 -> 655.565625,0.338187229,0.113540258,0.498621108,0.324000875,0.404429169,0.783137808,0.707153785,0.234006931,0.420934225,0.70145794,0.392643046,0.876607225,0.662729062,0.953944604,0.87015312,0.983273573,0.540015996,0.626183145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0983,-0.167,-0.0689,-0.101,-0.0852,0.0278,-0.038,-0.123,0.0822,0.087,-0.0801,-0.0113,-0.0143,-0.0523,0.0709
252,PE 40:5,794.570025 -> 653.550025,0.674824617,0.114520888,0.230635382,0.467951621,0.445203594,0.020310736,0.85833557,0.555739921,0.069789513,0.865941798,0.392643046,0.721989022,0.752065105,0.953944604,0.069390207,0.998456697,0.797077177,0.234627052,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0461,-0.181,-0.135,0.0803,-0.0845,0.281,0.0196,-0.065,0.211,-0.0197,-0.201,-0.0658,0.0606,0.0802,0.145
253,PE 40:6,792.684625 -> 651.664625,0.168797597,0.024692057,0.307219417,0.092490981,0.118376696,0.015716065,0.061053493,0.716066082,0.211538744,0.523854611,0.193242188,0.766489951,0.392731454,0.931806613,0.057149329,0.627978789,0.883012047,0.435165417,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.245,-0.423,-0.179,-0.304,-0.28,0.462,0.343,0.0626,0.221,0.159,-0.264,-0.085,-0.145,0.198,0.136
254,PE 40:7,790.668925 -> 649.648925,0.332018521,0.493780135,0.109459363,0.929259539,0.971158189,0.927872331,0.494856087,0.517441567,0.357637414,0.70145794,0.779652845,0.509680939,0.964702159,0.990416284,0.961723415,0.924067762,0.781586877,0.580371545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.106,-0.0742,-0.18,0.00954,0.00389,0.00973,-0.074,-0.0701,-0.1,0.00289,-0.0713,0.109,0.0124,-0.0615,0.00855
