"","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
"97","PC 32:3","728.559425 -> 184.07",0.676177500865986,0.0358790526324664,0.0184840163748863,0.987,0.215,1,FALSE,FALSE,FALSE,FALSE,0.0446,0.26,0.304,-0.0718,0.188,-0.116
"98","PC 32:4","726.580125 -> 184.07",0.451701286855942,0.0504706911516646,0.168707091411778,0.983,0.245,1,FALSE,FALSE,FALSE,FALSE,-0.0635,0.185,0.122,-0.0829,0.102,-0.0194
"99","PC 34:0","762.637625 -> 184.07",0.441082007495567,0.143829945495958,0.44050190344302,0.983,0.496,1,FALSE,FALSE,FALSE,FALSE,-0.0827,0.166,0.0828,-0.0828,0.0828,-3.64e-05
"100","PC 34:1","760.622025 -> 184.07",0.108621937058217,0.0505206149078072,0.632629249707604,0.953,0.245,1,FALSE,FALSE,FALSE,FALSE,-0.152,0.194,0.0417,-0.115,0.0784,0.0367
"101","PC 34:2","758.606325 -> 184.07",0.114869206702936,0.197267450948623,0.725184610143611,0.955,0.569,1,FALSE,FALSE,FALSE,FALSE,-0.163,0.129,-0.0334,-0.0972,0.0319,0.0653
"102","PC 34:3","756.590725 -> 184.07",0.572360133327349,0.0354664943436823,0.0881107444482964,0.986,0.214,1,FALSE,FALSE,FALSE,FALSE,-0.0586,0.252,0.194,-0.104,0.149,-0.045
"103","PC 34:4","754.611425 -> 184.07",0.486376426001196,0.0485830506852944,0.0158837633758939,0.984,0.242,1,FALSE,FALSE,FALSE,FALSE,0.0815,0.26,0.342,-0.0596,0.201,-0.141
"104","PC 34:6","750.507425 -> 184.07",0.440528923819547,0.900484581548434,0.3745183282423,0.983,0.826,1,FALSE,FALSE,FALSE,FALSE,0.0918,0.0146,0.106,0.0257,0.0403,-0.0661
"105","PC 36:1","788.653325 -> 184.07",0.0538961044055681,0.00721341822355116,0.219391136816705,0.918,0.0669,1,FALSE,FALSE,FALSE,FALSE,-0.207,0.329,0.122,-0.179,0.15,0.0283
"106","PC 36:2","786.637625 -> 184.07",0.00409060314101161,0.883759658013316,0.00332834383124067,0.329,0.823,1,FALSE,FALSE,FALSE,FALSE,-0.315,-0.0119,-0.327,-0.101,-0.113,0.214
"107","PC 36:3","784.622025 -> 184.07",0.0525644313014146,0.314549533161783,0.0102790855843018,0.916,0.666,1,FALSE,FALSE,FALSE,FALSE,-0.217,-0.102,-0.32,-0.0383,-0.141,0.179
"108","PC 36:4","782.606325 -> 184.07",0.755960451383721,0.189069391766663,0.297329744339149,0.988,0.56,1,FALSE,FALSE,FALSE,FALSE,0.0227,-0.101,-0.0787,0.0414,-0.0601,0.0187
"109","PC 36:5","780.554325 -> 184.07",0.404222666583008,0.717349926597371,0.626627867497086,0.982,0.797,1,FALSE,FALSE,FALSE,FALSE,0.0779,-0.0332,0.0447,0.037,0.00385,-0.0409
