Lipid annotation,MRM transition,Contrast,log2 fold change,p value,BH adjusted p value
DG 40:5 NL 20:0,688.58797 -> 359.25857,RDH12_200_vs_RDH12_Veh,0.27,0.301631869,0.577635722
DG 40:5 NL 22:5,688.58797 -> 341.30557,RDH12_100_vs_RDH12_Veh,0.342,0.177960938,0.578874408
DG 40:5 NL 22:5,688.58797 -> 341.30557,RDH12_200_vs_RDH12_100,0.019,0.936776411,0.973877651
DG 40:5 NL 22:5,688.58797 -> 341.30557,RDH12_200_vs_RDH12_Veh,0.361,0.15742341,0.418103036
DG 40:6 NL 20:0,686.57237 -> 357.24297,RDH12_100_vs_RDH12_Veh,0.511,0.278853027,0.665891157
DG 40:6 NL 20:0,686.57237 -> 357.24297,RDH12_200_vs_RDH12_100,-0.0793,0.861808746,0.945838515
DG 40:6 NL 20:0,686.57237 -> 357.24297,RDH12_200_vs_RDH12_Veh,0.431,0.355498996,0.636291681
DG 40:6 NL 22:6,686.57237 -> 341.30587,RDH12_100_vs_RDH12_Veh,0.412,0.413035907,0.767066685
DG 40:6 NL 22:6,686.57237 -> 341.30587,RDH12_200_vs_RDH12_100,0.0624,0.899281198,0.953774807
DG 40:6 NL 22:6,686.57237 -> 341.30587,RDH12_200_vs_RDH12_Veh,0.474,0.348969282,0.631395558
DG 40:7 NL 22:6,684.55667 -> 339.29017,RDH12_100_vs_RDH12_Veh,0.225,0.307381054,0.696542388
DG 40:7 NL 22:6,684.55667 -> 339.29017,RDH12_200_vs_RDH12_100,0.0467,0.82713427,0.916153205
DG 40:7 NL 22:6,684.55667 -> 339.29017,RDH12_200_vs_RDH12_Veh,0.272,0.224049398,0.527635881
DG 42:10 NL 16:0,706.54107 -> 433.274291,RDH12_100_vs_RDH12_Veh,0.405,0.110062491,0.488119553
DG 42:10 NL 16:0,706.54107 -> 433.274291,RDH12_200_vs_RDH12_100,-0.519,0.049801416,0.261722336
DG 42:10 NL 16:0,706.54107 -> 433.274291,RDH12_200_vs_RDH12_Veh,-0.114,0.630132573,0.79409564
DG 42:11 NL 16:0,704.52537 -> 431.258591,RDH12_100_vs_RDH12_Veh,0.345,0.550037213,0.814588646
DG 42:11 NL 16:0,704.52537 -> 431.258591,RDH12_200_vs_RDH12_100,-1.14,0.070810848,0.296445414
