"name","Class","Contrast","UpGroup","DownGroup","Direction","EnrichedIn","p_value","ratio"
"PC O-38:2","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.046629277,0.295
"PC O-38:3","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.084072334,0.32
"PC O-38:4","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.035163886,0.387
"PC O-38:5","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.028704313,0.429
"PC O-38:7","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.866192759,0.0264
"PC O-40:2","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.051892233,0.366
"PC O-40:3","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.038635379,0.256
"PC O-40:4","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.064847264,0.353
"PC O-40:5","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.009404955,0.369
"PC O-40:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","Up","WT 100",0.008253824,0.717
"PC O-40:7","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.748832171,0.0475
"PC O-42:5","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.222670996,0.138
"PC O-42:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.02473259,0.206
"PC O-42:7","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.212461341,-0.128
"PC O-44:2","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.930613728,-0.00749
"PC O-44:6","PC ether","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.946980043,-0.00655
"PC(16:0)","Oxidized PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.538702683,0.109
"PC(16:0/8:0(COOH))","Oxidized PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.588280457,0.0759
"PC(34:4)","Oxidized PC","WT 100 vs WT Veh","WT 100","WT Veh","Down","WT Veh",0.021230382,-1.38
"PC(O-40:1)","Oxidized PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.724957191,-0.112
"PC(P-30:1)","Oxidized PC","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.131399252,-0.173
"PE 32:0","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.782703105,-0.0293
"PE 32:2","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.121315241,-0.122
"PE 34:0","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.78938166,0.0381
"PE 34:2","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.226993293,0.244
"PE 34:3","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.440656137,-0.105
"PE 36:0","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.278066728,-0.188
"PE 36:1","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.145343235,0.233
"PE 36:2","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.340324845,0.129
"PE 36:3","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.112058375,-0.265
"PE 36:4","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.670172125,0.0631
"PE 36:5","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.121428937,-0.183
"PE 36:7","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.38990006,0.089
"PE 38:0","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.012331097,-0.249
"PE 38:1","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.236717172,0.119
"PE 38:2","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.095395217,0.243
"PE 38:3","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.137527744,0.207
"PE 38:4","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.31306272,0.164
"PE 38:5","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.151482639,0.221
"PE 38:6","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.819565459,-0.0284
"PE 40:1","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.944456545,0.00819
"PE 40:2","PE","WT 100 vs WT Veh","WT 100","WT Veh","NS","NS",0.993256718,0.00103
