"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CHMP4C",-1.13,0.901,-1.1,0.9,"-1.1","0.90","NS",NA
"CHN1",-2.33,0.909,-2.3,0.91,"-2.3","0.91","NS",NA
"CHORDC1",-1.85,0.417,-1.9,0.42,"-1.9","0.42","NS",NA
"CHPF",-0.031,0.97,0,0.97,"-0.0","0.97","NS",NA
"CHPF2",-4.36,0.813,-4.4,0.81,"-4.4","0.81","NS",NA
"CHSY1",-0.557,0.936,-0.6,0.94,"-0.6","0.94","NS",NA
"CHURC1",-1.17,0.703,-1.2,0.7,"-1.2","0.70","NS",NA
"CILP",-3.53,0.148,-3.5,0.15,"-3.5","0.15","NS",NA
"CIRBP",-1.25,0.785,-1.2,0.78,"-1.2","0.78","NS",NA
"CISD1",0.992,0.762,1,0.76,"1.0","0.76","NS",NA
"CKB",-2.85,0.671,-2.9,0.67,"-2.9","0.67","NS",NA
"CKS1B",0.154,0.965,0.2,0.96,"0.2","0.96","NS",NA
"CKS2",0.552,0.939,0.6,0.94,"0.6","0.94","NS",NA
"CLASP2",1.19,0.626,1.2,0.63,"1.2","0.63","NS",NA
"CLCN3",0.606,0.961,0.6,0.96,"0.6","0.96","NS",NA
"CLDND1",2.23,0.764,2.2,0.76,"2.2","0.76","NS",NA
"CLIP1",-1.08,0.927,-1.1,0.93,"-1.1","0.93","NS",NA
"CLK3",0.839,0.876,0.8,0.88,"0.8","0.88","NS",NA
"CLN6",5.4,0.675,5.4,0.68,"5.4","0.68","NS",NA
"CLOCK",-0.915,0.961,-0.9,0.96,"-0.9","0.96","NS",NA
"CLTCL1",-5.37,0.326,-5.4,0.33,"-5.4","0.33","NS",NA
"CLU",-1.92,0.273,-1.9,0.27,"-1.9","0.27","NS",NA
"CMBL",-2,0.667,-2,0.67,"-2.0","0.67","NS",NA
"CMTM6",0.317,0.968,0.3,0.97,"0.3","0.97","NS",NA
"CNBP",-4.19,0.758,-4.2,0.76,"-4.2","0.76","NS",NA
"CNEP1R1",1.57,0.955,1.6,0.96,"1.6","0.96","NS",NA
"CNN2",-0.496,0.939,-0.5,0.94,"-0.5","0.94","NS",NA
"CNN3",-0.713,0.882,-0.7,0.88,"-0.7","0.88","NS",NA
"CNOT3",-0.226,0.962,-0.2,0.96,"-0.2","0.96","NS",NA
"CNOT4",-1.04,0.744,-1,0.74,"-1.0","0.74","NS",NA
"CNOT8",5.64,4.8e-05,5.6,0,"5.6","<0.01","Up",NA
"CNOT9",-1.89,0.687,-1.9,0.69,"-1.9","0.69","NS",NA
"CNRIP1",-0.69,0.916,-0.7,0.92,"-0.7","0.92","NS",NA
"COCH",-0.416,0.967,-0.4,0.97,"-0.4","0.97","NS",NA
"COL1A1",-3.86,0.207,-3.9,0.21,"-3.9","0.21","NS",NA
"COL4A6",0.675,0.9,0.7,0.9,"0.7","0.90","NS",NA
"COLEC12",-1.07,0.829,-1.1,0.83,"-1.1","0.83","NS",NA
