"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"CHURC1",-1.01,0.018,-1,0.02,"-1.0","0.02","Down",NA
"CILP",-0.699,0.268,-0.7,0.27,"-0.7","0.27","NS",NA
"CIRBP",-1.05,0.0419,-1,0.04,"-1.0","0.04","Down",NA
"CISD1",0.503,0.165,0.5,0.16,"0.5","0.16","NS",NA
"CKB",-2.28,0.0231,-2.3,0.02,"-2.3","0.02","Down",NA
"CKS1B",-1.45,0.0104,-1.4,0.01,"-1.4","0.01","Down",NA
"CKS2",-0.948,0.057,-0.9,0.06,"-0.9","0.06","NS",NA
"CLASP2",1.03,0.00986,1,0.01,"1.0","<0.01","Up",NA
"CLCN3",2.21,0.078,2.2,0.08,"2.2","0.08","NS",NA
"CLDND1",3.69,6.63e-06,3.7,0,"3.7","<0.01","Up",NA
"CLIP1",-1.72,0.0389,-1.7,0.04,"-1.7","0.04","Down",NA
"CLK3",-0.663,0.118,-0.7,0.12,"-0.7","0.12","NS",NA
"CLN6",4.45,0.0201,4.4,0.02,"4.4","0.02","Up",NA
"CLOCK",4.93,0.0121,4.9,0.01,"4.9","0.01","Up",NA
"CLTCL1",-0.249,0.494,-0.2,0.49,"-0.2","0.49","NS",NA
"CLU",-0.394,0.288,-0.4,0.29,"-0.4","0.29","NS",NA
"CMBL",-1.5,0.0322,-1.5,0.03,"-1.5","0.03","Down",NA
"CMTM6",0.0228,0.541,0,0.54,"0.0","0.54","NS",NA
"CNBP",-2.03,0.177,-2,0.18,"-2.0","0.18","NS",NA
"CNEP1R1",-0.353,0.502,-0.4,0.5,"-0.4","0.50","NS",NA
"CNN2",-1.29,0.00413,-1.3,0,"-1.3","<0.01","Down",NA
"CNN3",-1.18,0.00195,-1.2,0,"-1.2","<0.01","Down",NA
"CNOT3",-1.25,0.0245,-1.2,0.02,"-1.2","0.02","Down",NA
"CNOT4",-1.02,0.0109,-1,0.01,"-1.0","0.01","Down",NA
"CNOT8",5.25,3.36e-14,5.2,0,"5.2","<0.01","Up",NA
"CNOT9",-1.05,0.106,-1,0.11,"-1.0","0.11","NS",NA
"CNRIP1",-1.12,0.0175,-1.1,0.02,"-1.1","0.02","Down",NA
"COCH",0.456,0.482,0.5,0.48,"0.5","0.48","NS",NA
"COL1A1",0.6,0.339,0.6,0.34,"0.6","0.34","NS",NA
"COL4A6",-0.621,0.111,-0.6,0.11,"-0.6","0.11","NS",NA
"COLEC12",-0.0851,0.495,-0.1,0.5,"-0.1","0.50","NS",NA
"COMMD3",-0.266,0.375,-0.3,0.38,"-0.3","0.38","NS",NA
"COMMD5",-1.01,0.219,-1,0.22,"-1.0","0.22","NS",NA
"COMMD6",-1.23,0.0371,-1.2,0.04,"-1.2","0.04","Down",NA
"COMMD8",-0.613,0.398,-0.6,0.4,"-0.6","0.40","NS",NA
"COMMD9",-0.731,0.0335,-0.7,0.03,"-0.7","0.03","Down",NA
"COPS5",-1.15,0.0541,-1.1,0.05,"-1.1","0.05","Down",NA
"COQ5",4.47,3.36e-14,4.5,0,"4.5","<0.01","Up",NA
"COQ6",2.79,0.319,2.8,0.32,"2.8","0.32","NS",NA
"COQ9",0.439,0.241,0.4,0.24,"0.4","0.24","NS",NA
"COX6A1",-0.514,0.401,-0.5,0.4,"-0.5","0.40","NS",NA
"COX7A2L",-0.223,0.395,-0.2,0.4,"-0.2","0.40","NS",NA
"CPNE8",-0.011,0.535,0,0.54,"-0.0","0.54","NS",NA
"CPT2",1.1,0.0344,1.1,0.03,"1.1","0.03","Up",NA
"CRABP2",-1.13,0.273,-1.1,0.27,"-1.1","0.27","NS",NA
"CRBN",3.55,1.82e-05,3.5,0,"3.5","<0.01","Up",NA
"CREB1",-1.35,0.0078,-1.4,0.01,"-1.4","<0.01","Down",NA
"CREM",-1.05,0.435,-1,0.44,"-1.0","0.44","NS",NA
"CRIM1",-0.747,0.297,-0.7,0.3,"-0.7","0.30","NS",NA
